"country","country_code","ageGroup","meanE","meanN","meanA","meanC","meanO","count"
"IS",352,"13-20",18.4,17,24.4,26,29.2,5
"IS",352,"21-30",22.25,19,29.5,20.25,34,4
"IS",352,"31-100",21.25,23,33.5,28.5,27.75,4
"IT",380,"13-20",17.8870967741935,17.4677419354839,25.4516129032258,21.7903225806452,28.4516129032258,62
"IT",380,"21-30",18.9009009009009,18.0990990990991,26.981981981982,21.7567567567568,30.036036036036,111
"IT",380,"31-100",20.5,20.2745098039216,29.5686274509804,23.3235294117647,31.1372549019608,102
"JM",388,"13-20",18.5454545454545,15.1818181818182,24.9090909090909,24.2727272727273,30.8181818181818,11
"JM",388,"21-30",16.8181818181818,23.2727272727273,28.8181818181818,26.4545454545455,27.3636363636364,11
"JM",388,"31-100",24.3333333333333,26.5,36.3333333333333,28.8333333333333,31.1666666666667,6
"JO",400,"13-20",19,15.5,31,19.5,35,2
"JO",400,"21-30",19.2857142857143,10.5714285714286,28.5714285714286,25,28,7
"JO",400,"31-100",20.25,9.75,32,30.75,28.25,4
"JP",392,"13-20",15.1666666666667,18.3333333333333,23,18.6666666666667,30.3333333333333,6
"JP",392,"21-30",19.8333333333333,17.5555555555556,26.6666666666667,21.7777777777778,28.3333333333333,18
"JP",392,"31-100",17.9230769230769,20.6923076923077,26.9230769230769,23.6153846153846,30.4615384615385,13
"KE",404,"13-20",19.375,19.25,29.75,24.125,29.875,8
"KE",404,"21-30",16.1304347826087,20.3478260869565,30.0869565217391,26.8260869565217,26.304347826087,23
"KE",404,"31-100",21.6666666666667,21.5833333333333,30.75,27.9166666666667,29.0833333333333,12
"KR",410,"13-20",14.3333333333333,14.3333333333333,18,21.6666666666667,22.6666666666667,3
"KR",410,"21-30",25.4117647058824,21.7058823529412,28.5294117647059,24.4117647058824,27.4705882352941,17
"KR",410,"31-100",17.3333333333333,16.3333333333333,24.8333333333333,23.1666666666667,29.1666666666667,6
"LB",422,"13-20",23,18.6666666666667,30.7333333333333,23.6666666666667,27.5333333333333,15
"LB",422,"21-30",22.4736842105263,21.4210526315789,28.6315789473684,26.3157894736842,30.4736842105263,19
"LB",422,"31-100",18.1666666666667,25.1666666666667,30.6666666666667,31.5,30,6
"LK",144,"13-20",25.5,18,27.75,20.25,28.75,4
"LK",144,"21-30",22.2222222222222,17.1666666666667,30.1666666666667,23.6666666666667,29.7777777777778,18
"LK",144,"31-100",19.7777777777778,17.6666666666667,30.5555555555556,26.2222222222222,29.1111111111111,9
"LT",440,"13-20",19.0833333333333,16.5833333333333,27.9166666666667,19.75,29.0833333333333,12
"LT",440,"21-30",18.8125,19.625,24.125,24.75,28.6875,16
"LT",440,"31-100",37,27,37,14,23,1
"LV",428,"13-20",15,18.1666666666667,22.3333333333333,20.6666666666667,29.3333333333333,6
"LV",428,"21-30",21.2857142857143,15.7857142857143,27.7142857142857,20.2857142857143,29.5714285714286,14
"LV",428,"31-100",8,24,18,25,26,1
"MT",470,"13-20",23,11,36,26,34,1
"MT",470,"21-30",14.6666666666667,22.3333333333333,23.6666666666667,20,24.3333333333333,3
"MT",470,"31-100",19,22.8571428571429,32.4285714285714,31.2857142857143,29.2857142857143,7
"MX",484,"13-20",17.2857142857143,15.2142857142857,23.6071428571429,19.2857142857143,31.7857142857143,28
"MX",484,"21-30",17.9230769230769,21.3846153846154,25.0512820512821,24.0769230769231,29.1025641025641,39
"MX",484,"31-100",21.6,17.8,28.6666666666667,26,32,15
"MY",458,"13-20",17.8333333333333,17.8444444444444,26.3111111111111,21.4,24.8,90
"MY",458,"21-30",19.2713178294574,18.922480620155,27.4496124031008,22.7286821705426,25.0232558139535,129
"MY",458,"31-100",20.1363636363636,24.9545454545455,29,29.5909090909091,26.9545454545455,22
"NG",566,"13-20",18,13.4,31.4,27.2,27,5
"NG",566,"21-30",21.304347826087,21.6521739130435,31.8695652173913,29.4347826086957,30.4782608695652,23
"NG",566,"31-100",28,27.7142857142857,31.8571428571429,23,27.7142857142857,7
"NL",528,"13-20",19.6315789473684,17.5789473684211,27.1578947368421,22.1578947368421,28.8947368421053,38
"NL",528,"21-30",20.2,20.4363636363636,28.2727272727273,23.2909090909091,31.0363636363636,55
"NL",528,"31-100",25.1282051282051,24.1794871794872,30.5128205128205,24.8461538461538,31.7435897435897,39
"NO",578,"13-20",19.1555555555556,16.4444444444444,28.4,19.5111111111111,30.1111111111111,45
"NO",578,"21-30",23.5818181818182,21.2545454545455,28.2727272727273,22.8727272727273,30.5272727272727,55
"NO",578,"31-100",23.063829787234,24.6382978723404,30.5531914893617,26.3617021276596,30.4468085106383,47
"NZ",554,"13-20",20.1846153846154,17.0153846153846,28.4615384615385,19.7076923076923,29.6923076923077,65
"NZ",554,"21-30",19.6666666666667,20.4871794871795,30.4358974358974,24.3333333333333,30.5897435897436,39
"NZ",554,"31-100",21.25,22.6730769230769,30.2884615384615,25.6538461538462,28.5961538461538,52
"PH",608,"13-20",17.4631578947368,15.9157894736842,27.0315789473684,22.6526315789474,26.8868421052632,380
"PH",608,"21-30",18.3217821782178,18.5940594059406,27.9554455445545,24.8861386138614,27.3861386138614,202
"PH",608,"31-100",20.9491525423729,21.2372881355932,29.8305084745763,29.0338983050847,28.3728813559322,59
"PK",586,"13-20",19.5,15.4393939393939,26.969696969697,22.2424242424242,25.0454545454545,66
"PK",586,"21-30",20.8195488721805,16.3533834586466,28.9022556390977,23.2481203007519,25.2857142857143,133
"PK",586,"31-100",15.45,17.55,28.5,25.6,25,20
"PL",616,"13-20",19.9130434782609,15.7391304347826,22.8695652173913,17.7826086956522,32.0434782608696,23
"PL",616,"21-30",16.4390243902439,14.7073170731707,23.9024390243902,20.7560975609756,31.4878048780488,41
"PL",616,"31-100",22.8,19.3333333333333,28.1333333333333,23.1333333333333,32.6,15
"PR",630,"13-20",17.6666666666667,17.6666666666667,27,26.6666666666667,30,3
"PR",630,"21-30",26,24.3333333333333,34.1666666666667,26.1666666666667,31.3333333333333,6
"PR",630,"31-100",17.6666666666667,20.5,28,25.3333333333333,32.8333333333333,6
"PT",620,"13-20",16.7586206896552,16.2413793103448,26.2413793103448,21.7241379310345,29.1379310344828,29
